name,description,price,category,image
Seblak Kerupuk Original,Seblak dengan kerupuk telur dan sayuran segar bumbu khas Listyaning,15000,seblak,https://images.unsplash.com/photo-1625869016774-3a92be2ae2cd?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300
Seblak Seafood Spesial,Seblak premium dengan udang cumi telur dan topping lengkap,25000,seblak,https://images.unsplash.com/photo-1563379926898-05f4575a45d8?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300
Seblak Telur Sayuran,Seblak dengan telur rebus sayuran segar cocok untuk yang tidak pedas,12000,seblak,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300
Seblak Keju Mozarella,Seblak dengan keju mozarella meleleh perpaduan gurih dan pedas,20000,seblak,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300
Es Teh Manis,Teh manis dingin yang menyegarkan cocok menemani seblak pedas,5000,minuman,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300
Ayam Goreng Crispy,Ayam goreng crispy dengan bumbu rahasia,18000,makanan,https://images.unsplash.com/photo-1626645738196-c2a7c87a8f58?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300
Kerupuk Mentah,Kerupuk mentah berkualitas untuk pelengkap atau cemilan,8000,cemilan,https://images.unsplash.com/photo-1578662996442-48f60103fc96?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300
Krupuk,Krupuk aneka warna untuk topping seblak prasmanan,1000,prasmanan,https://images.unsplash.com/photo-1578662996442-48f60103fc96?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300
Lidah Sapi,Potongan lidah sapi empuk sebagai topping,3000,prasmanan,https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300
Telor Ceplok,Telor mata sapi untuk melengkapi seblakmu,4000,prasmanan,https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?ixlib=rb-4.0.3&auto=format&fit=crop&w=400&h=300
